Interacting Pair,First CM,Second CM,Mean Reduction,Standard Deviation,Interaction Seen
"[6, 10]",Secondary Schools Closed,Public Indoor Gathering Person Limit - 10,-0.03979,0.01943,True
"[16, 17]",Private Indoor Gathering Person Limit - 30,Extra Private Indoor Household Limit,0.00499,0.02436,False
"[12, 14]",Extra Public Indoor Household Limit,Private Indoor Gathering Person Limit - 2,0.20553,0.0241,True
"[2, 9]",Leisure Venues Closed,Public Indoor Gathering Person Limit - 2,0.10481,0.02246,True
"[10, 14]",Public Indoor Gathering Person Limit - 10,Private Indoor Gathering Person Limit - 2,0.45167,0.02621,True
"[0, 13]",Some Face-to-Face Businesses Closed,Private Indoor Gathering Person Limit - 1,0.04883,0.04676,True
"[1, 12]",Gastronomy Closed,Extra Public Indoor Household Limit,0.06391,0.01587,True
"[0, 5]",Some Face-to-Face Businesses Closed,Primary Schools Closed,0.1264,0.01121,True
"[1, 11]",Gastronomy Closed,Public Indoor Gathering Person Limit - 30,0.02667,0.02829,False
"[13, 17]",Private Indoor Gathering Person Limit - 1,Extra Private Indoor Household Limit,0.0463,0.04849,False
"[4, 11]",Curfew,Public Indoor Gathering Person Limit - 30,0.17762,0.0312,True
"[17, 18]",Extra Private Indoor Household Limit,Mandatory Mask Wearing >= 3,0.06696,0.01954,True
"[7, 12]",Universities Away,Extra Public Indoor Household Limit,-0.05145,0.01415,True
"[7, 15]",Universities Away,Private Indoor Gathering Person Limit - 10,-0.19239,0.0116,True
"[15, 18]",Private Indoor Gathering Person Limit - 10,Mandatory Mask Wearing >= 3,0.00843,0.01774,False
"[5, 18]",Primary Schools Closed,Mandatory Mask Wearing >= 3,0.00149,0.00845,False
"[3, 14]",Retail Closed,Private Indoor Gathering Person Limit - 2,0.30656,0.01462,True
"[2, 14]",Leisure Venues Closed,Private Indoor Gathering Person Limit - 2,0.02251,0.01915,True
"[0, 4]",Some Face-to-Face Businesses Closed,Curfew,0.07139,0.05267,True
"[7, 10]",Universities Away,Public Indoor Gathering Person Limit - 10,-0.33626,0.01291,True
"[0, 15]",Some Face-to-Face Businesses Closed,Private Indoor Gathering Person Limit - 10,0.04411,0.05408,False
